timestamp,elapsed-time,elapsed-seconds,inserts,overall-ips,total-documents,this-interval-ips,this-interval-latency-ms,last-10-intervals-ips,last-10-intervals-latency-ms
2025-09-18T09:34:22.876Z,00:20:31.05,1231.05,1252000,1017.02,1252000,0.00,0.00,0.00,0.00
2025-09-18T09:34:32.880Z,00:20:41.05,1241.05,1252000,1008.82,1252000,0.00,0.00,0.00,0.00
2025-09-18T09:34:42.885Z,00:20:51.06,1251.06,1252000,1000.75,1252000,0.00,0.00,0.00,0.00
2025-09-18T09:34:52.889Z,00:21:01.06,1261.06,1252000,992.81,1252000,0.00,0.00,0.00,0.00
2025-09-18T09:35:02.892Z,00:21:11.07,1271.07,1252000,985.00,1252000,0.00,0.00,0.00,0.00
2025-09-18T09:35:12.896Z,00:21:21.07,1281.07,1252000,977.31,1252000,0.00,0.00,0.00,0.00
2025-09-18T09:35:22.900Z,00:21:31.07,1291.07,1252000,969.73,1252000,0.00,0.00,0.00,0.00
2025-09-18T09:35:32.904Z,00:21:41.08,1301.08,1252000,962.28,1252000,0.00,0.00,0.00,0.00
2025-09-18T09:35:42.911Z,00:21:51.09,1311.09,1252000,954.93,1252000,0.00,0.00,0.00,0.00
2025-09-18T09:35:52.916Z,00:22:01.09,1321.09,1252000,947.70,1252000,0.00,0.00,0.00,0.00
2025-09-18T09:36:02.921Z,00:22:11.09,1331.09,1252000,940.58,1252000,0.00,0.00,0.00,0.00
2025-09-18T09:36:12.925Z,00:22:21.10,1341.10,1252000,933.56,1252000,0.00,0.00,0.00,0.00
2025-09-18T09:36:22.929Z,00:22:31.10,1351.10,1252000,926.65,1252000,0.00,0.00,0.00,0.00
2025-09-18T09:36:32.932Z,00:22:41.11,1361.11,1252000,919.84,1252000,0.00,0.00,0.00,0.00
2025-09-18T09:36:42.936Z,00:22:51.11,1371.11,1252000,913.13,1252000,0.00,0.00,0.00,0.00
2025-09-18T09:36:52.942Z,00:23:01.12,1381.12,1252000,906.51,1252000,0.00,0.00,0.00,0.00
2025-09-18T09:37:02.944Z,00:23:11.12,1391.12,1252000,900.00,1252000,0.00,0.00,0.00,0.00
2025-09-18T09:37:12.947Z,00:23:21.12,1401.12,1252000,893.57,1252000,0.00,0.00,0.00,0.00
2025-09-18T09:37:22.951Z,00:23:31.12,1411.12,1252000,887.24,1252000,0.00,0.00,0.00,0.00
2025-09-18T09:37:32.955Z,00:23:41.13,1421.13,1252000,880.99,1252000,0.00,0.00,0.00,0.00
2025-09-18T09:37:42.958Z,00:23:51.13,1431.13,1252000,874.83,1252000,0.00,0.00,0.00,0.00
2025-09-18T09:37:52.964Z,00:24:01.14,1441.14,1252000,868.76,1252000,0.00,0.00,0.00,0.00
2025-09-18T09:38:02.970Z,00:24:11.14,1451.14,1252000,862.77,1252000,0.00,0.00,0.00,0.00
2025-09-18T09:38:12.973Z,00:24:21.15,1461.15,1252000,856.86,1252000,0.00,0.00,0.00,0.00
2025-09-18T09:38:22.976Z,00:24:31.15,1471.15,1252000,851.03,1252000,0.00,0.00,0.00,0.00
2025-09-18T09:38:32.978Z,00:24:41.15,1481.15,1252000,845.29,1252000,0.00,0.00,0.00,0.00
2025-09-18T09:38:42.982Z,00:24:51.16,1491.16,1252000,839.62,1252000,0.00,0.00,0.00,0.00
2025-09-18T09:38:52.990Z,00:25:01.16,1501.16,1252000,834.02,1252000,0.00,0.00,0.00,0.00
2025-09-18T09:39:02.994Z,00:25:11.17,1511.17,1252000,828.50,1252000,0.00,0.00,0.00,0.00
2025-09-18T09:39:12.997Z,00:25:21.17,1521.17,1252000,823.05,1252000,0.00,0.00,0.00,0.00
2025-09-18T09:39:22.999Z,00:25:31.17,1531.17,1252000,817.67,1252000,0.00,0.00,0.00,0.00
2025-09-18T09:39:33.003Z,00:25:41.18,1541.18,1252000,812.37,1252000,0.00,0.00,0.00,0.00
2025-09-18T09:39:43.006Z,00:25:51.18,1551.18,1252000,807.13,1252000,0.00,0.00,0.00,0.00
2025-09-18T09:39:53.008Z,00:26:01.18,1561.18,1252000,801.96,1252000,0.00,0.00,0.00,0.00
2025-09-18T09:40:03.012Z,00:26:11.19,1571.19,1252000,796.85,1252000,0.00,0.00,0.00,0.00
2025-09-18T09:40:13.017Z,00:26:21.19,1581.19,1252000,791.81,1252000,0.00,0.00,0.00,0.00
2025-09-18T09:40:23.021Z,00:26:31.19,1591.19,1252000,786.83,1252000,0.00,0.00,0.00,0.00
2025-09-18T09:40:33.024Z,00:26:41.20,1601.20,1252000,781.91,1252000,0.00,0.00,0.00,0.00
2025-09-18T09:40:43.027Z,00:26:51.20,1611.20,1252000,777.06,1252000,0.00,0.00,0.00,0.00
2025-09-18T09:40:53.031Z,00:27:01.20,1621.20,1252000,772.27,1252000,0.00,0.00,0.00,0.00
2025-09-18T09:41:03.033Z,00:27:11.21,1631.21,1252000,767.53,1252000,0.00,0.00,0.00,0.00
2025-09-18T09:41:13.035Z,00:27:21.21,1641.21,1252000,762.85,1252000,0.00,0.00,0.00,0.00
2025-09-18T09:41:23.039Z,00:27:31.21,1651.21,1252000,758.23,1252000,0.00,0.00,0.00,0.00
2025-09-18T09:41:33.047Z,00:27:41.22,1661.22,1252000,753.66,1252000,0.00,0.00,0.00,0.00
2025-09-18T09:41:43.051Z,00:27:51.22,1671.22,1252000,749.15,1252000,0.00,0.00,0.00,0.00
2025-09-18T09:41:53.053Z,00:28:01.23,1681.23,1252000,744.69,1252000,0.00,0.00,0.00,0.00
2025-09-18T09:42:03.057Z,00:28:11.23,1691.23,1252000,740.29,1252000,0.00,0.00,0.00,0.00
2025-09-18T09:42:13.059Z,00:28:21.23,1701.23,1252000,735.94,1252000,0.00,0.00,0.00,0.00
2025-09-18T09:42:23.062Z,00:28:31.24,1711.24,1252000,731.63,1252000,0.00,0.00,0.00,0.00
2025-09-18T09:42:33.064Z,00:28:41.24,1721.24,1252000,727.38,1252000,0.00,0.00,0.00,0.00
2025-09-18T09:42:43.066Z,00:28:51.24,1731.24,1252000,723.18,1252000,0.00,0.00,0.00,0.00
2025-09-18T09:42:53.070Z,00:29:01.24,1741.24,1252000,719.03,1252000,0.00,0.00,0.00,0.00
2025-09-18T09:43:03.074Z,00:29:11.25,1751.25,1252000,714.92,1252000,0.00,0.00,0.00,0.00
2025-09-18T09:43:13.080Z,00:29:21.25,1761.25,1252000,710.86,1252000,0.00,0.00,0.00,0.00
2025-09-18T09:43:23.082Z,00:29:31.26,1771.26,1252000,706.84,1252000,0.00,0.00,0.00,0.00
2025-09-18T09:43:33.090Z,00:29:41.26,1781.26,1252000,702.87,1252000,0.00,0.00,0.00,0.00
2025-09-18T09:43:43.094Z,00:29:51.27,1791.27,1252000,698.95,1252000,0.00,0.00,0.00,0.00
2025-09-18T09:43:53.096Z,00:30:01.27,1801.27,1252000,695.06,1252000,0.00,0.00,0.00,0.00
2025-09-18T09:44:03.099Z,00:30:11.27,1811.27,1252000,691.23,1252000,0.00,0.00,0.00,0.00
2025-09-18T09:44:13.101Z,00:30:21.27,1821.27,1252000,687.43,1252000,0.00,0.00,0.00,0.00
2025-09-18T09:44:23.105Z,00:30:31.28,1831.28,1252000,683.68,1252000,0.00,0.00,0.00,0.00
2025-09-18T09:44:33.108Z,00:30:41.28,1841.28,1252000,679.96,1252000,0.00,0.00,0.00,0.00
2025-09-18T09:44:43.111Z,00:30:51.28,1851.28,1252000,676.29,1252000,0.00,0.00,0.00,0.00
2025-09-18T09:44:53.114Z,00:31:01.29,1861.29,1252000,672.65,1252000,0.00,0.00,0.00,0.00
2025-09-18T09:45:03.117Z,00:31:11.29,1871.29,1252000,669.06,1252000,0.00,0.00,0.00,0.00
2025-09-18T09:45:13.121Z,00:31:21.30,1881.30,1252000,665.50,1252000,0.00,0.00,0.00,0.00
2025-09-18T09:45:23.124Z,00:31:31.30,1891.30,1252000,661.98,1252000,0.00,0.00,0.00,0.00
2025-09-18T09:45:33.127Z,00:31:41.30,1901.30,1252000,658.50,1252000,0.00,0.00,0.00,0.00
2025-09-18T09:45:43.131Z,00:31:51.30,1911.30,1252000,655.05,1252000,0.00,0.00,0.00,0.00
2025-09-18T09:45:53.137Z,00:32:01.31,1921.31,1252000,651.64,1252000,0.00,0.00,0.00,0.00
2025-09-18T09:46:03.144Z,00:32:11.32,1931.32,1252000,648.26,1252000,0.00,0.00,0.00,0.00
2025-09-18T09:46:13.151Z,00:32:21.32,1941.32,1252000,644.92,1252000,0.00,0.00,0.00,0.00
2025-09-18T09:46:23.158Z,00:32:31.33,1951.33,1252000,641.61,1252000,0.00,0.00,0.00,0.00
2025-09-18T09:46:33.160Z,00:32:41.33,1961.33,1252000,638.34,1252000,0.00,0.00,0.00,0.00
2025-09-18T09:46:43.163Z,00:32:51.34,1971.34,1252000,635.10,1252000,0.00,0.00,0.00,0.00
2025-09-18T09:46:53.165Z,00:33:01.34,1981.34,1252000,631.90,1252000,0.00,0.00,0.00,0.00
2025-09-18T09:47:03.168Z,00:33:11.34,1991.34,1252000,628.72,1252000,0.00,0.00,0.00,0.00
2025-09-18T09:47:13.170Z,00:33:21.34,2001.34,1252000,625.58,1252000,0.00,0.00,0.00,0.00
2025-09-18T09:47:23.173Z,00:33:31.35,2011.35,1252000,622.47,1252000,0.00,0.00,0.00,0.00
2025-09-18T09:47:33.181Z,00:33:41.35,2021.35,1252000,619.39,1252000,0.00,0.00,0.00,0.00
2025-09-18T09:47:43.190Z,00:33:51.36,2031.36,1252000,616.33,1252000,0.00,0.00,0.00,0.00
2025-09-18T09:47:53.197Z,00:34:01.37,2041.37,1252000,613.31,1252000,0.00,0.00,0.00,0.00
2025-09-18T09:48:03.204Z,00:34:11.38,2051.38,1252000,610.32,1252000,0.00,0.00,0.00,0.00
2025-09-18T09:48:13.211Z,00:34:21.38,2061.38,1252000,607.36,1252000,0.00,0.00,0.00,0.00
2025-09-18T09:48:23.213Z,00:34:31.39,2071.39,1252000,604.43,1252000,0.00,0.00,0.00,0.00
2025-09-18T09:48:33.215Z,00:34:41.39,2081.39,1252000,601.52,1252000,0.00,0.00,0.00,0.00
2025-09-18T09:48:43.217Z,00:34:51.39,2091.39,1252000,598.64,1252000,0.00,0.00,0.00,0.00
2025-09-18T09:48:53.220Z,00:35:01.39,2101.39,1252000,595.80,1252000,0.00,0.00,0.00,0.00
2025-09-18T09:49:03.222Z,00:35:11.40,2111.40,1252000,592.97,1252000,0.00,0.00,0.00,0.00
2025-09-18T09:49:13.226Z,00:35:21.40,2121.40,1252000,590.18,1252000,0.00,0.00,0.00,0.00
2025-09-18T09:49:23.234Z,00:35:31.41,2131.41,1252000,587.41,1252000,0.00,0.00,0.00,0.00
2025-09-18T09:49:33.239Z,00:35:41.41,2141.41,1252000,584.66,1252000,0.00,0.00,0.00,0.00
2025-09-18T09:49:43.245Z,00:35:51.42,2151.42,1252000,581.94,1252000,0.00,0.00,0.00,0.00
2025-09-18T09:49:53.252Z,00:36:01.42,2161.42,1252000,579.25,1252000,0.00,0.00,0.00,0.00
2025-09-18T09:50:03.258Z,00:36:11.43,2171.43,1252000,576.58,1252000,0.00,0.00,0.00,0.00
2025-09-18T09:50:13.261Z,00:36:21.44,2181.44,1252000,573.93,1252000,0.00,0.00,0.00,0.00
2025-09-18T09:50:23.263Z,00:36:31.44,2191.44,1252000,571.31,1252000,0.00,0.00,0.00,0.00
2025-09-18T09:50:33.266Z,00:36:41.44,2201.44,1252000,568.72,1252000,0.00,0.00,0.00,0.00
2025-09-18T09:50:43.268Z,00:36:51.44,2211.44,1252000,566.15,1252000,0.00,0.00,0.00,0.00
2025-09-18T09:50:53.271Z,00:37:01.45,2221.45,1252000,563.60,1252000,0.00,0.00,0.00,0.00
2025-09-18T09:51:03.276Z,00:37:11.45,2231.45,1252000,561.07,1252000,0.00,0.00,0.00,0.00
2025-09-18T09:51:13.281Z,00:37:21.45,2241.45,1252000,558.57,1252000,0.00,0.00,0.00,0.00
2025-09-18T09:51:23.284Z,00:37:31.46,2251.46,1252000,556.08,1252000,0.00,0.00,0.00,0.00
2025-09-18T09:51:33.287Z,00:37:41.46,2261.46,1252000,553.62,1252000,0.00,0.00,0.00,0.00
2025-09-18T09:51:43.289Z,00:37:51.46,2271.46,1252000,551.19,1252000,0.00,0.00,0.00,0.00
2025-09-18T09:51:53.291Z,00:38:01.47,2281.47,1252000,548.77,1252000,0.00,0.00,0.00,0.00
2025-09-18T09:52:03.293Z,00:38:11.47,2291.47,1252000,546.37,1252000,0.00,0.00,0.00,0.00
2025-09-18T09:52:13.296Z,00:38:21.47,2301.47,1252000,544.00,1252000,0.00,0.00,0.00,0.00
2025-09-18T09:52:23.299Z,00:38:31.47,2311.47,1252000,541.65,1252000,0.00,0.00,0.00,0.00
2025-09-18T09:52:33.304Z,00:38:41.48,2321.48,1252000,539.31,1252000,0.00,0.00,0.00,0.00
